CG beads number:   49,  the thread number:   16
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread:  12,  CNa = 1000.000000,  CMg = 0.000000, t0 = 110.000000
thread:  4,  CNa = 1000.000000,  CMg = 0.000000, t0 = 49.000000
thread:  1,  CNa = 1000.000000,  CMg = 0.000000, t0 = 31.000000
thread:  8,  CNa = 1000.000000,  CMg = 0.000000, t0 = 78.000000
thread:  14,  CNa = 1000.000000,  CMg = 0.000000, t0 = 130.000000
thread:  9,  CNa = 1000.000000,  CMg = 0.000000, t0 = 86.000000
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread:  3,  CNa = 1000.000000,  CMg = 0.000000, t0 = 43.000000
thread:  7,  CNa = 1000.000000,  CMg = 0.000000, t0 = 71.000000
thread:  6,  CNa = 1000.000000,  CMg = 0.000000, t0 = 63.000000
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread:  11,  CNa = 1000.000000,  CMg = 0.000000, t0 = 102.000000
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread:  10,  CNa = 1000.000000,  CMg = 0.000000, t0 = 94.000000
thread:  2,  CNa = 1000.000000,  CMg = 0.000000, t0 = 37.000000
thread: 2,  step:  1000,     T: 37.0,    Energy: 179.135712 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 189.690308 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 199.312927 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 187.508881 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 197.875031 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 190.525375 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 175.634644 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 183.401352 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 201.432495 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 195.116821 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 203.421539 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 191.190460 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 185.981064 kcal/mol
thread: 1,  step:  1000,     T: 31.0,    Energy: 187.717285 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 177.838287 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 178.596664 kcal/mol
thread: 2,  step:  2000,     T: 37.0,    Energy: 192.108322 kcal/mol
thread: 4,  step:  2000,     T: 49.0,    Energy: 170.780136 kcal/mol
thread: 14,  step:  2000,     T:130.0,    Energy: 185.607422 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 172.658615 kcal/mol
thread: 13,  step:  2000,     T:120.0,    Energy: 195.510345 kcal/mol
thread: 7,  step:  2000,     T: 71.0,    Energy: 191.793762 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 188.025482 kcal/mol
thread: 5,  step:  2000,     T: 55.0,    Energy: 198.503555 kcal/mol
thread: 3,  step:  2000,     T: 43.0,    Energy: 191.219162 kcal/mol
thread: 6,  step:  2000,     T: 63.0,    Energy: 187.288986 kcal/mol
thread: 11,  step:  2000,     T:102.0,    Energy: 202.992508 kcal/mol
thread: 9,  step:  2000,     T: 86.0,    Energy: 174.072037 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 188.563141 kcal/mol
